SOC,Occupation,Mean,Entry Level,Experienced,10%,25%,50% (Median),75%,90%
13-1199,"Business Operations Specialists, All Other",75900,42800,92500,40500,49500,67800,92900,124700
13-2011,Accountants and Auditors,82700,49800,99100,46800,57700,76200,95600,128600
13-2022,Appraisers of Personal and Business Property,51700,30900,62200,26600,37900,46200,64200,89000
13-2023,Appraisers and Assessors of Real Estate,51700,30900,62100,26600,37900,46100,64200,89000
13-2031,Budget Analysts,84900,55800,99400,52300,64500,83000,102700,123200
13-2041,Credit Analysts,79500,53000,92700,49600,59800,69300,89900,134700
13-2051,Financial and Investment Analysts,87700,55200,103900,50000,65800,81600,100400,131100
13-2052,Personal Financial Advisors,222000,60400,302800,51900,78600,146800,244900,319400
13-2053,Insurance Underwriters,81800,56600,94400,56700,59100,73000,96800,126800
13-2054,Financial Risk Specialists,109000,64900,131000,58700,78300,100500,134800,165400
13-2061,Financial Examiners,84000,51500,100300,49300,57500,72200,101500,154200
13-2071,Credit Counselors,52700,43100,57500,43600,44000,52500,56900,56900
13-2072,Loan Officers,74000,44900,88600,43000,49600,59800,85600,132000
13-2081,"Tax Examiners and Collectors, and Revenue Agents",61900,38900,73400,37600,42800,52600,67600,115200
13-2082,Tax Preparers,40600,28300,46800,28700,29600,38700,43500,59900
13-2099,"Financial Specialists, All Other",66400,39000,80100,35900,46400,63000,74100,103800
15-1211,Computer Systems Analysts,88500,61400,102100,58400,67800,78800,109900,126500
15-1212,Information Security Analysts,118000,78100,137900,71600,92200,116700,139100,164800
15-1221,Computer and Information Research Scientists,90900,70400,101100,69300,73900,83700,104800,124200
15-1231,Computer Network Support Specialists,66900,42400,79200,38900,49500,60100,77500,102400
15-1232,Computer User Support Specialists,59800,40000,69700,38000,44900,55000,67800,80700
15-1241,Computer Network Architects,123700,99800,135700,101100,101100,116700,140800,158000
15-1242,Database Administrators,107600,59700,131500,55400,71300,101300,138500,155600
15-1243,Database Architects,130400,101500,144900,92100,116900,125600,156000,167200
15-1244,Network and Computer Systems Administrators,89600,61000,103900,56300,70200,82100,105400,128800
15-1251,Computer Programmers,97800,70300,111600,59500,87300,93900,121700,121700
15-1252,Software Developers,123300,83500,143200,76800,97500,120400,145600,162800
15-1253,Software Quality Assurance Analysts and Testers,81400,61100,91500,57500,67700,74800,97800,111900
15-1254,Web Developers,81900,50900,97500,48600,56900,71300,99700,132300
15-1255,Web and Digital Interface Designers,97800,56100,118700,50900,68100,93600,124600,156200
15-1299,"Computer Occupations, All Other",95800,52800,117300,47800,64400,91100,127500,141000
15-2011,Actuaries,114900,73200,135800,70200,82800,108700,141300,175800
15-2021,Mathematicians,104400,64900,124100,59700,77500,103800,129900,158200
15-2031,Operations Research Analysts,67100,45000,78100,42700,50500,61700,74200,99500
15-2041,Statisticians,105400,75300,120500,69100,86900,100700,127700,146300
15-2051,Data Scientists,101600,67400,118600,64200,75800,95000,122600,163500
15-2099,"Mathematical Science Occupations, All Other",50600,36200,57800,36200,36200,36200,67800,97800
17-1011,"Architects, Except Landscape and Naval",113600,69100,135800,66200,78200,103000,134900,203800
17-1012,Landscape Architects,79400,57800,90200,53100,66800,78100,90800,112500
17-1021,Cartographers and Photogrammetrists,61200,38700,72400,36700,44000,56400,73100,92000
17-1022,Surveyors,67800,44000,79700,42200,49200,61700,78300,101900
17-2011,Aerospace Engineers,151200,93600,180000,88600,107900,144100,184900,230500
17-2021,Agricultural Engineers,80000,43900,98000,43300,49900,80300,97900,124100
17-2031,Bioengineers and Biomedical Engineers,97600,53500,119600,51100,63100,100500,117500,146100
17-2041,Chemical Engineers,112200,70600,133000,66000,81600,103700,130300,180500
17-2051,Civil Engineers,99900,67400,116200,62000,77300,87700,110700,147600
17-2061,Computer Hardware Engineers,123100,84200,142500,85300,87200,110900,147900,176300
